tool,dataset,pattern,size,t_load,m_graph,m_graph_end,t_first,t_rest,t_second,t_second_rest
rdfjsdataset,wasm_tree,POG,1000000,5.409354345999658,404136,410856,0.01225097499974072,0.013876011000014841,0.007160834999755025,0.003944141999818384
rdfjsdataset,tree,POG,1000000,11.33841859300062,25600,42196,0.429687845999375,0.1708188779996708,0.41581890700012447,0.1768899109996855
rdfjsdataset,tree,POG,1000000,12.2800189139992,24576,41172,0.4239031589999795,0.16772460300009698,0.41018741799984126,0.17482466400042176
rdfjsdataset,wasm_tree_FI,S,1000000,5.604441217999906,405672,405672,0.32101711199991406,0.0002445179997012019,0.00007343100011348725,0.00001913500018417835
rdfjsdataset,wasm_tree_II,POG,1000000,5.616559496000409,405672,473024,0.1786524169994518,0.012844252999871969,0.1706345579996705,0.003264844000339508
rdfjsdataset,wasm_tree,POG,1000000,5.513838882999495,404136,410856,0.013021254000253975,0.014741329999640585,0.007136572999879718,0.0038324079997837544
rdfjsdataset,wrap_tree,S,1000000,11.233327608999796,25088,25088,0.35374471500050275,0.0024329479997977615,0.00007531100045889616,0.0003910739999264479
rdfjsdataset,tree,S,1000000,11.287721956000663,25600,25600,0.35209693599957975,0.0007758340006694198,0.00010183099936693906,0.00004733700025826692
rdfjsdataset,tree,POG,1000000,11.36069675000012,25600,42196,0.42616359299980106,0.17077260200027378,0.41259252799954266,0.1768901820005849
rdfjsdataset,wasm_tree_FS,POG,1000000,5.647929082999937,404648,412096,0.060068764999508854,0.021638061000034212,0.05405001700017601,0.010908785999752582
rdfjsdataset,wasm_tree_II,POG,1000000,5.366751787999645,417460,484228,0.1688614560002461,0.01172996599972248,0.1620462800003588,0.0034661979991942645
rdfjsdataset,wasm_tree_II,POG,1000000,5.610496798999607,405672,472440,0.16979621700011194,0.011994305999949575,0.16418221199978142,0.0032797990003600717
rdfjsdataset,tree,POG,1000000,10.807146928000265,25600,42196,0.41689504599943755,0.17264263499993832,0.4025734740002081,0.1796744520002976
rdfjsdataset,wasm_tree,S,1000000,5.457578963999636,405672,405672,0.3113700169995427,0.00023772200010716915,0.000034769999794661996,0.000012966999784111976
rdfjsdataset,tree,S,1000000,11.146289487999864,26112,26112,0.34518335200008005,0.0005309110004454851,0.00007664400059729815,0.00003239399939775467
rdfjsdataset,wasm_tree,POG,1000000,5.52901523400005,417460,419272,0.011851561000570655,0.012359121000394225,0.007252617000602186,0.0038769800001755357
rdfjsdataset,graphy,POG,1000000,5.8780996290007606,589848,691284,0.23430128700006753,0.10807617599982769,0.13954826000053436,0.07237920800037682
rdfjsdataset,wasm_tree_FS,POG,1000000,5.399157416000031,404136,412084,0.05902250100020319,0.022076187999919058,0.05316364999953657,0.011001133999787272
rdfjsdataset,wasm_tree_FI,S,1000000,5.433889352000318,405672,405672,0.3149103569993749,0.00024052300024777652,0.00006861799955368042,0.000019656000658869744
rdfjsdataset,wasm_tree_FS,POG,1000000,5.654916877000593,405672,410752,0.06362478199973702,0.02066030600015074,0.05810853399988264,0.010743433999828994
rdfjsdataset,wasm_tree_II,S,1000000,5.499269070999697,406184,406184,0.31751928699947896,0.00022520999982953072,0.00006828599981963634,0.000013678000308573246
rdfjsdataset,wasm_tree_II,POG,1000000,5.498379568000324,404648,470904,0.16958565699961037,0.013159854999743401,0.16263794700056314,0.0033706659991294147
