dataset,nb_trees,file,nb_quads,memory_usage,loading_time
wasm_tree,6,data/persondata_en_1M.ttl,999999,407660,7.290069857000374
wasm_tree,6,data/persondata_en_1M.ttl,999999,408748,7.343026967000216
wasm_tree,1,data/persondata_en_1M.ttl,999999,411340,5.280053509999998
wasm_tree,6,data/persondata_en_1M.ttl,999999,407164,7.58567891499959
graphy,1,data/persondata_en_1M.ttl,999999,594456,5.8867464809995145
tree,6,data/persondata_en_1M.ttl,999999,30720,11.022156870999373
wasm_tree,1,data/persondata_en_1M.ttl,999999,409928,5.360423379000276
tree,6,data/persondata_en_1M.ttl,999999,30988,11.083484578999691
wasm_tree,1,data/persondata_en_1M.ttl,999999,410692,5.398752483999357
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.353087114000693
tree,1,data/persondata_en_1M.ttl,999999,30308,11.624774740000255
n3,3,data/persondata_en_1M.ttl,999999,1286540,7.386665107999928
wasm_tree,6,data/persondata_en_1M.ttl,999999,407660,7.37099180599954
tree,1,data/persondata_en_1M.ttl,999999,31588,11.10696218399983
tree,1,data/persondata_en_1M.ttl,999999,31316,10.810166031999513
tree,6,data/persondata_en_1M.ttl,999999,31168,11.06294020100031
tree,1,data/persondata_en_1M.ttl,999999,31332,11.166693703999742
wasm_tree,1,data/persondata_en_1M.ttl,999999,411120,5.300484724000096
tree,6,data/persondata_en_1M.ttl,999999,31520,10.661947974000126
n3,3,data/persondata_en_1M.ttl,999999,1285920,7.057587254999206
n3,3,data/persondata_en_1M.ttl,999999,1284932,6.833445279999636
graphy,1,data/persondata_en_1M.ttl,999999,595992,5.674867118000053
tree,6,data/persondata_en_1M.ttl,999999,30956,11.17261632299982
n3,3,data/persondata_en_1M.ttl,999999,1290008,7.012535713000223
tree,1,data/persondata_en_1M.ttl,999999,30208,11.082030826999805
wasm_tree,1,data/persondata_en_1M.ttl,999999,409768,5.498649356999435
n3,3,data/persondata_en_1M.ttl,999999,1288740,6.8680221250001345
tree,6,data/persondata_en_1M.ttl,999999,30368,10.975637035999448
graphy,1,data/persondata_en_1M.ttl,999999,597104,5.620763915000484
wasm_tree,6,data/persondata_en_1M.ttl,999999,407660,7.512943116999232
wasm_tree,1,data/persondata_en_1M.ttl,999999,411900,5.416113583999686
graphy,1,data/persondata_en_1M.ttl,999999,597172,5.630593377999961
tree,6,data/persondata_en_1M.ttl,999999,30720,11.25623427300062
tree,1,data/persondata_en_1M.ttl,999999,31632,11.03698429599963
wasm_tree,1,data/persondata_en_1M.ttl,999999,409744,5.430005113000051
tree,1,data/persondata_en_1M.ttl,999999,29696,11.936591880000197
wasm_tree,6,data/persondata_en_1M.ttl,999999,408944,7.870395681000315
tree,6,data/persondata_en_1M.ttl,999999,31832,11.083630377000198
graphy,1,data/persondata_en_1M.ttl,999999,594516,6.206869168999605
n3,3,data/persondata_en_1M.ttl,999999,1294736,6.886068613000214
wasm_tree,6,data/persondata_en_1M.ttl,999999,407584,8.270019009999931
tree,6,data/persondata_en_1M.ttl,999999,31484,11.054428389999083
graphy,1,data/persondata_en_1M.ttl,999999,595328,5.678489501000382
graphy,1,data/persondata_en_1M.ttl,999999,595992,6.094681119999849
n3,3,data/persondata_en_1M.ttl,999999,1278860,7.013055538999848
wasm_tree,1,data/persondata_en_1M.ttl,999999,412488,5.527605189000257
wasm_tree,6,data/persondata_en_1M.ttl,999999,408172,7.68820794100035
graphy,1,data/persondata_en_1M.ttl,999999,597152,5.673828974999488
tree,6,data/persondata_en_1M.ttl,999999,30756,10.96512914699968
tree,1,data/persondata_en_1M.ttl,999999,30548,11.966981250000186
graphy,1,data/persondata_en_1M.ttl,999999,597120,5.794476242000237
wasm_tree,6,data/persondata_en_1M.ttl,999999,405612,7.619744401999749
tree,6,data/persondata_en_1M.ttl,999999,30960,11.315949962999671
wasm_tree,6,data/persondata_en_1M.ttl,999999,407136,7.490035583999939
wasm_tree,6,data/persondata_en_1M.ttl,999999,408684,8.45613948099967
tree,1,data/persondata_en_1M.ttl,999999,30576,10.999472242000513
wasm_tree,1,data/persondata_en_1M.ttl,999999,411784,5.50215557899978
graphy,1,data/persondata_en_1M.ttl,999999,595480,5.6581469299998135
