dataset,nb_trees,file,nb_quads,memory_usage,loading_time
graphy,1,data/persondata_en_1M.ttl,999999,594868,5.75981742499955
tree,6,data/persondata_en_1M.ttl,999999,31276,13.602031990000047
tree,1,data/persondata_en_1M.ttl,999999,30680,10.938366262999363
tree,6,data/persondata_en_1M.ttl,999999,30768,13.567301388999446
tree,1,data/persondata_en_1M.ttl,999999,31092,11.03312007599976
n3,3,data/persondata_en_1M.ttl,999999,1293576,7.056232555000111
wasm_tree,6,data/persondata_en_1M.ttl,999999,408864,7.646918240000494
wasm_tree,1,data/persondata_en_1M.ttl,999999,411264,5.47056366399955
tree,1,data/persondata_en_1M.ttl,999999,31488,11.229681842000224
wasm_tree,1,data/persondata_en_1M.ttl,999999,412784,5.473693312999792
n3,3,data/persondata_en_1M.ttl,999999,1286296,6.928475631999783
wasm_tree,6,data/persondata_en_1M.ttl,999999,407748,7.4807082750005645
graphy,1,data/persondata_en_1M.ttl,999999,594992,5.743153667000122
n3,3,data/persondata_en_1M.ttl,999999,1289328,7.210982757000252
graphy,1,data/persondata_en_1M.ttl,999999,594188,5.591001563999802
n3,3,data/persondata_en_1M.ttl,999999,1289116,6.976243693999946
tree,6,data/persondata_en_1M.ttl,999999,30924,12.95925463599991
tree,6,data/persondata_en_1M.ttl,999999,31188,13.236528522000649
n3,3,data/persondata_en_1M.ttl,999999,1274784,7.112876845999621
tree,1,data/persondata_en_1M.ttl,999999,30672,11.148029206999578
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.56636526799947
tree,1,data/persondata_en_1M.ttl,999999,31144,10.805818826000205
tree,6,data/persondata_en_1M.ttl,999999,31048,13.464372598000802
n3,3,data/persondata_en_1M.ttl,999999,1289388,7.341255739999935
tree,6,data/persondata_en_1M.ttl,999999,31232,13.2750034640003
n3,3,data/persondata_en_1M.ttl,999999,1287780,7.113397544000298
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.602587988000363
graphy,1,data/persondata_en_1M.ttl,999999,596352,5.581799464000389
n3,3,data/persondata_en_1M.ttl,999999,1287680,6.991845878000371
n3,3,data/persondata_en_1M.ttl,999999,1290164,6.8642353630000725
graphy,1,data/persondata_en_1M.ttl,999999,595992,5.707545574000105
graphy,1,data/persondata_en_1M.ttl,999999,595692,5.656887223999948
tree,1,data/persondata_en_1M.ttl,999999,31416,11.123783714000135
wasm_tree,1,data/persondata_en_1M.ttl,999999,411600,5.36424875799939
tree,6,data/persondata_en_1M.ttl,999999,31152,13.242158154999837
wasm_tree,1,data/persondata_en_1M.ttl,999999,410612,5.592396998000331
n3,3,data/persondata_en_1M.ttl,999999,1288496,6.845696925999596
wasm_tree,6,data/persondata_en_1M.ttl,999999,407480,7.314126399000175
tree,1,data/persondata_en_1M.ttl,999999,31664,10.36464186399989
wasm_tree,1,data/persondata_en_1M.ttl,999999,409020,5.670468279999681
tree,1,data/persondata_en_1M.ttl,999999,31264,10.99851310200058
wasm_tree,6,data/persondata_en_1M.ttl,999999,405612,7.603674591000192
n3,3,data/persondata_en_1M.ttl,999999,1278116,7.081991933999583
wasm_tree,6,data/persondata_en_1M.ttl,999999,407704,8.208483676999807
graphy,1,data/persondata_en_1M.ttl,999999,594864,5.639722887000069
graphy,1,data/persondata_en_1M.ttl,999999,595368,5.9817379430001605
graphy,1,data/persondata_en_1M.ttl,999999,597320,5.467176487999968
tree,1,data/persondata_en_1M.ttl,999999,31284,10.901507589000277
n3,3,data/persondata_en_1M.ttl,999999,1291268,7.1504761259993534
n3,3,data/persondata_en_1M.ttl,999999,1289644,6.856342566999607
n3,3,data/persondata_en_1M.ttl,999999,1287508,6.836498962000013
wasm_tree,1,data/persondata_en_1M.ttl,999999,411780,5.51611429100018
tree,6,data/persondata_en_1M.ttl,999999,31232,12.607701183000579
n3,3,data/persondata_en_1M.ttl,999999,1285408,7.783664768999443
tree,1,data/persondata_en_1M.ttl,999999,30988,10.620189996999688
tree,6,data/persondata_en_1M.ttl,999999,30208,13.289972740000113
graphy,1,data/persondata_en_1M.ttl,999999,594456,5.5102235930003225
tree,6,data/persondata_en_1M.ttl,999999,30964,12.945338790999726
tree,6,data/persondata_en_1M.ttl,999999,31232,12.738099660999142
wasm_tree,1,data/persondata_en_1M.ttl,999999,410076,5.1764206639993935
n3,3,data/persondata_en_1M.ttl,999999,1286392,6.821643099999055
graphy,1,data/persondata_en_1M.ttl,999999,596580,5.559154191000387
tree,6,data/persondata_en_1M.ttl,999999,31140,12.78991840099916
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.526079083001241
tree,6,data/persondata_en_1M.ttl,999999,30640,12.928183266000822
